date,close,sbi_tt,close_inr
2025-01-02,190.6300048828125,85.3,16260.7394
2025-01-03,193.1300048828125,85.38,16489.4398
2025-01-06,197.9600067138672,85.38,16901.8254
2025-01-07,196.7100067138672,85.39,16797.0675
2025-01-08,195.38999938964844,85.4,16686.3059
2025-01-10,193.1699981689453,85.48,16512.1714
2025-01-13,192.2899932861328,85.95,16527.3249
2025-01-14,191.0500030517578,86.25,16478.0628
2025-01-15,196.97999572753906,85.95,16930.4306
2025-01-16,194.41000366210938,86.0,16719.2603
2025-01-17,197.5500030517578,86.2,17028.8103
2025-01-21,199.6300048828125,86.1,17188.1434
2025-01-22,200.02999877929688,86.0,17202.5799
2025-01-23,199.5800018310547,86.05,17173.8592
2025-01-24,201.89999389648438,85.8,17323.0195
2025-01-27,193.77000427246094,85.95,16654.5319
2025-01-28,197.07000732421875,86.1,16967.7276
2025-01-29,197.17999267578125,86.2,16996.9154
2025-01-30,202.6300048828125,86.15,17456.5749
2025-01-31,205.60000610351562,86.2,17722.7205
2025-02-03,202.63999938964844,86.8,17589.1519
2025-02-04,207.7100067138672,86.6,17987.6866
2025-02-05,193.3000030517578,87.0,16817.1003
2025-02-06,193.30999755859375,87.1,16837.3008
2025-02-07,187.13999938964844,87.05,16290.5369
2025-02-10,188.1999969482422,87.1,16392.2197
2025-02-11,187.07000732421875,86.35,16153.4951
2025-02-12,185.42999267578125,86.3,16002.6084
2025-02-13,187.8800048828125,86.4,16232.8324
2025-02-14,186.8699951171875,86.45,16154.9111
2025-02-18,185.8000030517578,86.5,16071.7003
2025-02-19,187.1300048828125,86.5,16186.7454
2025-02-20,186.63999938964844,86.25,16097.6999
2025-02-21,181.5800018310547,86.3,15670.3542
2025-02-24,181.19000244140625,86.2,15618.5782
2025-02-25,177.3699951171875,86.7,15377.9786
2025-02-26,174.6999969482422,86.7,15146.4897
2025-02-27,170.2100067138672,86.85,14782.7391
2025-02-28,172.22000122070312,86.95,14974.5291
2025-03-03,168.66000366210938,86.95,14664.9873
2025-03-04,172.61000061035156,86.95,15008.4396
2025-03-05,174.99000549316406,86.65,15162.884
2025-03-06,174.2100067138672,86.7,15104.0076
2025-03-07,175.75,86.5,15202.375
2025-03-10,167.80999755859375,86.87,14577.6545
2025-03-11,165.97999572753906,86.98,14436.94
2025-03-12,169.0,86.85,14677.65
2025-03-13,164.72999572753906,86.75,14290.3271
2025-03-14,167.6199951171875,86.75,14541.0346
2025-03-17,166.57000732421875,86.5,14408.3056
2025-03-18,162.6699981689453,86.15,14014.0203
2025-03-19,166.27999877929688,86.25,14341.6499
2025-03-20,165.0500030517578,85.8,14161.2903
2025-03-21,166.25,85.6,14231.0
2025-03-24,169.92999267578125,85.2,14478.0354
2025-03-25,172.7899932861328,85.3,14738.9864
2025-03-26,167.13999938964844,85.3,14257.0419
2025-03-27,164.0800018310547,85.5,14028.8402
2025-03-28,156.05999755859375,85.1,13280.7058
2025-03-31,156.22999572753906,85.1,13295.1726
2025-04-01,158.8800048828125,85.1,13520.6884
2025-04-02,158.86000061035156,85.25,13542.8151
2025-04-03,152.6300048828125,85.15,12996.4449
2025-04-04,147.74000549316406,84.8,12528.3525
2025-04-07,149.24000549316406,85.3,12730.1725
2025-04-08,146.5800018310547,85.7,12561.9062
2025-04-09,161.05999755859375,86.2,13883.3718
2025-04-10,155.3699951171875,86.2,13392.8936
2025-04-11,159.39999389648438,85.7,13660.5795
2025-04-14,161.47000122070312,85.7,13837.9791
2025-04-15,158.67999267578125,85.35,13543.3374
2025-04-16,155.5,85.2,13248.6
2025-04-17,153.36000061035156,85.1,13050.9361
2025-04-21,149.86000061035156,84.7,12693.1421
2025-04-22,153.89999389648438,84.75,13043.0245
2025-04-23,157.72000122070312,84.9,13390.4281
2025-04-24,161.47000122070312,85.2,13757.2441
2025-04-25,163.85000610351562,85.1,13943.6355
2025-04-28,162.4199981689453,84.65,13748.8528
2025-04-29,162.05999755859375,84.7,13726.4818
2025-04-30,160.88999938964844,84.25,13554.9824
2025-05-01,162.7899932861328,84.25,13715.0569
2025-05-02,165.80999755859375,83.6,13861.7158
2025-05-05,166.0500030517578,83.85,13923.2928
2025-05-06,165.1999969482422,83.85,13852.0197
2025-05-07,152.8000030517578,84.26,12874.9283
2025-05-08,155.75,84.85,13215.3875
2025-05-09,154.3800048828125,85.3,13168.6144
2025-05-12,159.5800018310547,85.3,13612.1742
2025-05-13,160.88999938964844,85.0,13675.6499
2025-05-14,166.80999755859375,84.85,14153.8283
2025-05-15,165.39999389648438,85.1,14075.5395
2025-05-16,167.42999267578125,85.0,14231.5494
2025-05-19,167.8699951171875,85.1,14285.7366
2025-05-20,165.32000732421875,85.1,14068.7326
2025-05-21,170.05999755859375,85.2,14489.1118
2025-05-22,171.97999572753906,85.6,14721.4876
2025-05-23,169.58999633789062,84.75,14372.7522
2025-05-27,173.97999572753906,84.95,14779.6006
2025-05-28,173.3800048828125,85.2,14771.9764
2025-05-29,172.9600067138672,85.1,14718.8966
2025-05-30,172.85000610351562,84.9,14674.9655
2025-06-02,170.3699951171875,85.1,14498.4866
2025-06-03,167.7100067138672,85.1,14272.1216
2025-06-04,169.38999938964844,85.5,14482.8449
2025-06-05,169.80999755859375,85.45,14510.2643
2025-06-06,174.9199981689453,85.5,14955.6598
2025-06-09,177.6300048828125,85.2,15134.0764
2025-06-10,180.00999450683594,85.2,15336.8515
2025-06-11,178.7899932861328,85.1,15215.0284
2025-06-12,176.97000122070312,85.05,15051.2986
2025-06-13,175.8800048828125,85.75,15081.7104
2025-06-16,177.94000244140625,85.6,15231.6642
2025-06-17,177.22999572753906,85.6,15170.8876
2025-06-18,173.97999572753906,85.95,14953.5806
2025-06-20,167.72999572753906,86.2,14458.3256
2025-06-23,166.00999450683594,86.35,14334.963
2025-06-24,167.74000549316406,85.75,14383.7055
2025-06-25,171.49000549316406,85.6,14679.5445
2025-06-26,174.42999267578125,85.3,14878.8784
2025-06-27,178.27000427246094,85.1,15170.7774
2025-06-30,177.38999938964844,85.1,15095.8889
2025-07-01,176.91000366210938,85.2,15072.7323
2025-07-02,179.75999450683594,85.2,15315.5515
2025-07-03,180.5500030517578,84.9,15328.6953
2025-07-07,177.55999755859375,85.4,15163.6238
2025-07-08,175.16000366210938,85.3,14941.1483
2025-07-09,177.66000366210938,85.45,15181.0473
2025-07-10,178.6999969482422,85.2,15225.2397
2025-07-11,181.30999755859375,85.4,15483.8738
2025-07-14,182.80999755859375,85.6,15648.5358
2025-07-15,183.10000610351562,85.55,15664.2055
2025-07-16,183.77000427246094,85.6,15730.7124
2025-07-17,184.6999969482422,85.5,15791.8497
2025-07-18,185.94000244140625,85.6,15916.4642
2025-07-21,191.14999389648438,85.9,16419.7845
2025-07-22,192.11000061035156,85.85,16492.6436
2025-07-23,191.50999450683594,86.0,16469.8595
2025-07-24,193.1999969482422,85.9,16595.8797
2025-07-25,194.0800018310547,86.15,16719.9922
2025-07-28,193.4199981689453,86.05,16643.7908
2025-07-29,196.42999267578125,86.4,16971.5514
2025-07-30,197.44000244140625,86.9,17157.5362
2025-07-31,192.86000061035156,87.15,16807.7491
2025-08-01,189.9499969482422,86.95,16516.1522
2025-08-04,195.75,87.15,17059.6125
2025-08-05,195.32000732421875,87.45,17080.7346
2025-08-06,196.9199981689453,87.3,17191.1158
2025-08-07,197.27999877929688,87.3,17222.5439
2025-08-08,202.08999633789062,87.15,17612.1432
2025-08-11,201.6300048828125,87.1,17561.9734
2025-08-12,204.16000366210938,87.3,17823.1683
2025-08-13,203.02999877929688,87.0,17663.6099
2025-08-14,203.82000732421875,87.1,17752.7226
2025-08-15,204.91000366210938,87.1,17847.6613
2025-08-18,204.2899932861328,87.05,17783.4439
2025-08-19,202.49000549316406,86.6,17535.6345
2025-08-20,200.19000244140625,86.75,17366.4827
2025-08-21,200.6199951171875,86.6,17373.6916
2025-08-22,206.72000122070312,86.95,17974.3041
2025-08-25,209.16000366210938,87.0,18196.9203
2025-08-26,207.9499969482422,87.34,18162.3527
2025-08-27,208.2100067138672,87.34,18185.062
2025-08-28,212.3699951171875,87.12,18501.674
2025-08-29,213.52999877929688,87.8,18747.9339
2025-09-02,211.99000549316406,87.7,18591.5235
2025-09-03,231.10000610351562,87.7,20267.4705
2025-09-04,232.66000366210938,87.7,20404.2823
2025-09-05,235.1699981689453,87.7,20624.4088
2025-09-08,234.16000366210938,87.6,20512.4163
2025-09-09,239.94000244140625,87.6,21018.7442
2025-09-10,239.55999755859375,87.75,21021.3898
2025-09-11,240.77999877929688,87.95,21176.6009
2025-09-12,241.3800048828125,87.95,21229.3714
2025-09-15,251.75999450683594,87.85,22117.1155
2025-09-16,251.4199981689453,87.65,22036.9628
2025-09-17,249.85000610351562,87.45,21849.383
2025-09-18,252.3300018310547,87.55,22091.4917
2025-09-19,255.24000549316406,87.8,22410.0725
2025-09-22,252.8800048828125,87.8,22202.8644
2025-09-23,252.33999633789062,88.2,22256.3877
2025-09-24,247.8300018310547,88.45,21920.5637
2025-09-25,246.57000732421875,88.3,21772.1316
2025-09-26,247.17999267578125,88.35,21838.3524
2025-09-29,244.36000061035156,88.25,21564.7701
2025-09-30,243.5500030517578,88.35,21517.6428
2025-10-01,245.5399932861328,88.4,21705.7354
2025-10-02,246.42999267578125,88.4,21784.4114
2025-10-03,246.4499969482422,88.25,21749.2122
2025-10-06,251.50999450683594,88.3,22208.3325
2025-10-07,247.1300048828125,88.35,21833.9359
2025-10-08,245.4600067138672,88.36,21688.8462
2025-10-09,242.2100067138672,88.35,21399.2541
2025-10-10,237.49000549316406,88.37,20986.9918
2025-10-13,244.63999938964844,88.35,21613.9439
2025-10-14,246.19000244140625,88.34,21748.4248
2025-10-15,251.7100067138672,87.7,22074.9676
2025-10-16,251.8800048828125,87.4,22014.3124
2025-10-17,253.7899932861328,87.4,22181.2454
2025-10-20,257.0199890136719,87.5,22489.249
2025-10-21,251.33999633789062,87.5,21992.2497
2025-10-22,252.52999877929688,87.5,22096.3749
2025-10-23,253.72999572753906,87.4,22176.0016
2025-10-24,260.510009765625,87.4,22768.5749
2025-10-27,269.92999267578125,87.8,23699.8534
2025-10-28,268.42999267578125,87.9,23594.9964
2025-10-29,275.1700134277344,87.8,24159.9272
2025-10-30,281.8999938964844,88.2,24863.5795
2025-10-31,281.82000732421875,88.2,24856.5246
2025-11-03,284.1199951171875,88.36,25104.8428
2025-11-04,278.05999755859375,88.09,24494.3052
2025-11-05,284.75,88.09,25083.6275
2025-11-06,285.3399963378906,88.16,25155.5741
2025-11-07,279.70001220703125,88.25,24683.5261
2025-11-10,290.5899963378906,88.25,25644.5672
2025-11-11,291.739990234375,88.25,25746.0541
2025-11-12,287.42999267578125,88.2,25351.3254
2025-11-13,279.1199951171875,88.25,24632.3396
2025-11-14,276.9800109863281,88.3,24457.335
2025-11-17,285.6000061035156,88.32,25224.1925
2025-11-18,284.9599914550781,88.25,25147.7192
2025-11-19,292.989990234375,88.2,25841.7171
2025-11-20,289.9800109863281,88.2,25576.237
2025-11-21,299.6499938964844,88.95,26653.867
2025-11-24,318.4700012207031,88.75,28264.2126
2025-11-25,323.6400146484375,88.65,28690.6873
2025-11-26,320.2799987792969,88.8,28440.8639
2025-11-28,320.1199951171875,89.0,28490.6796
2025-12-01,315.1199951171875,89.3,28140.2156
2025-12-02,316.0199890136719,89.3,28220.585
2025-12-03,320.6199951171875,89.7,28759.6136
2025-12-04,318.3900146484375,89.6,28527.7453
2025-12-05,322.0899963378906,89.44,28807.7293
2025-12-08,314.45001220703125,89.65,28190.4436
2025-12-09,317.75,89.7,28502.175
2025-12-10,321.0,89.45,28713.45
2025-12-11,313.70001220703125,89.95,28217.3161
2025-12-12,310.5199890136719,90.0,27946.799
2025-12-15,309.32000732421875,90.3,27931.5967
2025-12-16,307.7300109863281,90.6,27880.339
2025-12-17,298.05999755859375,89.65,26721.0788
2025-12-18,303.75,89.75,27261.5625
2025-12-19,308.6099853515625,89.35,27574.3022
2025-12-22,311.3299865722656,89.3,27801.7678
2025-12-23,315.67999267578125,89.25,28174.4393
2025-12-24,315.6700134277344,89.15,28141.9817
2025-12-26,314.9599914550781,89.45,28173.1712
2025-12-29,314.3900146484375,89.5,28137.9063
2025-12-30,314.54998779296875,89.5,28152.2239
2025-12-31,313.79998779296875,89.47,28075.6849
