date,close,sbi_tt,close_inr
2024-01-02,144.4600067138672,82.86,11969.9562
2024-01-03,143.23500061035156,82.91,11875.6139
2024-01-04,141.64999389648438,82.84,11734.2855
2024-01-05,141.46499633789062,82.84,11718.9603
2024-01-08,144.75,82.71,11972.2725
2024-01-09,150.2100067138672,82.66,12416.3592
2024-01-10,158.0449981689453,82.74,13076.6431
2024-01-11,161.7449951171875,82.66,13369.8413
2024-01-12,162.6199951171875,82.68,13445.4212
2024-01-16,166.02499389648438,82.55,13705.3632
2024-01-17,165.02999877929688,82.73,13652.9318
2024-01-18,167.88499450683594,82.73,13889.1256
2024-01-19,168.8699951171875,82.75,13973.9921
2024-01-22,172.8249969482422,82.68,14289.1707
2024-01-23,172.08999633789062,82.73,14237.0054
2024-01-24,170.1199951171875,82.75,14077.4296
2024-01-25,170.09500122070312,82.73,14071.9595
2024-01-26,171.22000122070312,82.73,14165.0307
2024-01-29,172.625,82.74,14282.9925
2024-01-30,172.94500732421875,82.74,14309.4699
2024-01-31,169.2550048828125,82.72,14000.774
2024-02-01,169.98500061035156,82.63,14045.8606
2024-02-02,172.52999877929688,82.52,14237.1755
2024-02-05,172.24000549316406,82.64,14233.9141
2024-02-06,170.7449951171875,82.64,14110.3664
2024-02-07,182.25,82.64,15061.14
2024-02-08,183.50999450683594,82.56,15150.5851
2024-02-09,188.4499969482422,82.57,15560.3162
2024-02-12,185.98500061035156,82.63,15367.9406
2024-02-13,184.1300048828125,82.59,15207.2971
2024-02-14,184.1649932861328,82.7,15230.4449
2024-02-15,183.44000244140625,82.6,15152.1442
2024-02-16,183.2050018310547,82.63,15138.2293
2024-02-20,183.0449981689453,82.62,15123.1777
2024-02-21,130.98500061035156,82.51,10807.5724
2024-02-22,133.91000366210938,82.54,11052.9317
2024-02-23,141.0449981689453,82.46,11630.5705
2024-02-26,151.38999938964844,82.49,12488.161
2024-02-27,157.375,82.48,12980.29
2024-02-28,158.0749969482422,82.5,13041.1872
2024-02-29,155.27499389648438,82.49,12808.6342
2024-03-01,151.1999969482422,82.47,12469.4637
2024-03-04,149.72000122070312,82.46,12345.9113
2024-03-05,145.56500244140625,82.5,12009.1127
2024-03-06,139.42999267578125,82.51,11504.3687
2024-03-07,143.2449951171875,82.42,11806.2525
2024-03-08,140.10000610351562,82.42,11547.0425
2024-03-11,141.6649932861328,82.32,11661.8622
2024-03-12,142.36500549316406,82.33,11720.9109
2024-03-13,145.05999755859375,82.42,11955.845
2024-03-14,143.7899932861328,82.44,11854.047
2024-03-15,141.0800018310547,82.55,11646.1542
2024-03-18,142.6199951171875,82.45,11759.0186
2024-03-19,140.2899932861328,82.54,11579.536
2024-03-20,141.02499389648438,82.61,11650.0747
2024-03-21,143.81500244140625,82.68,11890.6244
2024-03-22,143.38999938964844,82.88,11884.1631
2024-03-25,142.53500366210938,82.88,11813.3011
2024-03-26,143.34500122070312,82.95,11890.4679
2024-03-27,141.1300048828125,82.93,11703.9113
